Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2025-01-15,109.16999816894533,109.5999984741211,107.98999786376952,108.18000030517578,6296900.0,0.0,0.0,DIS
2025-01-16,108.29000091552734,108.5999984741211,106.16000366210938,106.45999908447266,7872800.0,0.0,0.0,DIS
2025-01-17,106.83000183105467,107.73999786376952,106.54000091552734,107.0199966430664,7144300.0,0.0,0.0,DIS
2025-01-18,106.83000183105467,107.73999786376952,106.54000091552734,107.0199966430664,7144300.0,,,
2025-01-19,106.83000183105467,107.73999786376952,106.54000091552734,107.0199966430664,7144300.0,,,
2025-01-20,106.83000183105467,107.73999786376952,106.54000091552734,107.0199966430664,7144300.0,,,
2025-01-21,107.0999984741211,109.4499969482422,106.8000030517578,108.6999969482422,8643700.0,0.0,0.0,DIS
2025-01-22,109.5500030517578,109.5500030517578,108.2300033569336,108.80999755859376,8781700.0,0.0,0.0,DIS
2025-01-23,108.5,111.06999969482422,108.48999786376952,111.04000091552734,7608300.0,0.0,0.0,DIS
2025-01-24,111.16000366210938,113.38999938964844,110.62999725341795,112.16000366210938,8304500.0,0.0,0.0,DIS
2025-01-25,111.16000366210938,113.38999938964844,110.62999725341795,112.16000366210938,8304500.0,,,
2025-01-26,111.16000366210938,113.38999938964844,110.62999725341795,112.16000366210938,8304500.0,,,
2025-01-27,111.68000030517578,114.08000183105467,111.45999908447266,113.33999633789062,10176900.0,0.0,0.0,DIS
2025-01-28,112.8499984741211,112.95999908447266,111.55999755859376,112.13999938964844,6516800.0,0.0,0.0,DIS
2025-01-29,113.5,114.37999725341795,112.76000213623048,113.19000244140624,7607100.0,0.0,0.0,DIS
2025-01-30,114.08999633789062,115.18000030517578,113.12000274658205,113.43000030517578,6236200.0,0.0,0.0,DIS
2025-01-31,113.3000030517578,114.01000213623048,112.76000213623048,113.05999755859376,7797700.0,0.0,0.0,DIS
2025-02-01,113.3000030517578,114.01000213623048,112.76000213623048,113.05999755859376,7797700.0,,,
2025-02-02,113.3000030517578,114.01000213623048,112.76000213623048,113.05999755859376,7797700.0,,,
2025-02-03,111.3499984741211,114.5999984741211,110.86000061035156,114.0,8870700.0,0.0,0.0,DIS
2025-02-04,113.8000030517578,114.66000366210938,112.51000213623048,113.3000030517578,13521100.0,0.0,0.0,DIS
2025-02-05,115.6999969482422,118.58999633789062,110.2300033569336,110.54000091552734,23310000.0,0.0,0.0,DIS
2025-02-06,111.87999725341795,112.68000030517578,109.1500015258789,112.08999633789062,12470800.0,0.0,0.0,DIS
2025-02-07,111.61000061035156,112.5500030517578,110.80999755859376,110.86000061035156,8669300.0,0.0,0.0,DIS
2025-02-08,111.61000061035156,112.5500030517578,110.80999755859376,110.86000061035156,8669300.0,,,
2025-02-09,111.61000061035156,112.5500030517578,110.80999755859376,110.86000061035156,8669300.0,,,
2025-02-10,111.13999938964844,111.37999725341795,108.69000244140624,109.27999877929688,8239500.0,0.0,0.0,DIS
2025-02-11,108.37999725341795,109.0500030517578,107.69000244140624,109.0199966430664,7456700.0,0.0,0.0,DIS
2025-02-12,108.25,109.52999877929688,107.75,109.2300033569336,6521200.0,0.0,0.0,DIS
2025-02-13,108.91999816894533,109.76000213623048,108.55999755859376,109.58999633789062,6553200.0,0.0,0.0,DIS
2025-02-14,109.86000061035156,110.51000213623048,109.58999633789062,110.37999725341795,5964500.0,0.0,0.0,DIS
2025-02-15,109.86000061035156,110.51000213623048,109.58999633789062,110.37999725341795,5964500.0,,,
2025-02-16,109.86000061035156,110.51000213623048,109.58999633789062,110.37999725341795,5964500.0,,,
2025-02-17,109.86000061035156,110.51000213623048,109.58999633789062,110.37999725341795,5964500.0,,,
2025-02-18,109.77999877929688,109.91999816894533,108.70999908447266,109.55999755859376,8362900.0,0.0,0.0,DIS
2025-02-19,109.13999938964844,111.76000213623048,109.13999938964844,111.3499984741211,8452100.0,0.0,0.0,DIS
2025-02-20,111.23999786376952,111.5199966430664,109.37999725341795,110.5500030517578,5970100.0,0.0,0.0,DIS
2025-02-21,111.0,111.76000213623048,107.91999816894533,108.66000366210938,9082100.0,0.0,0.0,DIS
2025-02-22,111.0,111.76000213623048,107.91999816894533,108.66000366210938,9082100.0,,,
2025-02-23,111.0,111.76000213623048,107.91999816894533,108.66000366210938,9082100.0,,,
2025-02-24,108.83999633789062,111.55999755859376,108.6500015258789,111.1999969482422,7093300.0,0.0,0.0,DIS
2025-02-25,111.43000030517578,111.9000015258789,109.06999969482422,110.52999877929688,7289000.0,0.0,0.0,DIS
2025-02-26,110.05999755859376,113.25,110.05999755859376,111.83000183105467,7831600.0,0.0,0.0,DIS
2025-02-27,112.31999969482422,113.12000274658205,111.05999755859376,111.30999755859376,7854700.0,0.0,0.0,DIS
2025-02-28,111.45999908447266,113.98999786376952,111.0,113.8000030517578,14609400.0,0.0,0.0,DIS
2025-03-01,111.45999908447266,113.98999786376952,111.0,113.8000030517578,14609400.0,,,
2025-03-02,111.45999908447266,113.98999786376952,111.0,113.8000030517578,14609400.0,,,
2025-03-03,114.06999969482422,115.5500030517578,112.0,112.79000091552734,7884700.0,0.0,0.0,DIS
2025-03-04,111.6999969482422,112.25,108.2699966430664,109.01000213623048,12658000.0,0.0,0.0,DIS
2025-03-05,109.33999633789062,110.94000244140624,108.22000122070312,109.30999755859376,9956100.0,0.0,0.0,DIS
2025-03-06,108.37999725341795,108.83000183105467,105.0199966430664,105.43000030517578,11618800.0,0.0,0.0,DIS
2025-03-07,105.0,105.7699966430664,103.30999755859376,105.51000213623048,12715900.0,0.0,0.0,DIS
2025-03-08,105.0,105.7699966430664,103.30999755859376,105.51000213623048,12715900.0,,,
2025-03-09,105.0,105.7699966430664,103.30999755859376,105.51000213623048,12715900.0,,,
2025-03-10,104.43000030517578,104.8000030517578,102.11000061035156,103.08000183105467,10947100.0,0.0,0.0,DIS
2025-03-11,99.79000091552734,101.04000091552734,97.4499969482422,97.9000015258789,16906000.0,0.0,0.0,DIS
2025-03-12,98.68000030517578,99.48999786376952,96.37999725341795,98.76000213623048,11891800.0,0.0,0.0,DIS
2025-03-13,97.7699966430664,98.6500015258789,95.93000030517578,96.87000274658205,11059500.0,0.0,0.0,DIS
2025-03-14,97.44000244140624,99.0999984741211,97.41999816894533,98.63999938964844,10197000.0,0.0,0.0,DIS
2025-03-15,97.44000244140624,99.0999984741211,97.41999816894533,98.63999938964844,10197000.0,,,
